threshold,precision,recall,f1
0.1,0.036140589232604735,0.9965848116513359,0.06975167316019441
0.2,0.04631122877195729,0.9475060227770478,0.08830631208150547
0.3,0.0709767333223744,0.877662341217696,0.13133257444597896
0.4,0.1059861509354407,0.8016863775733684,0.18722094312134535
0.5,0.14666000690092718,0.721439717477004,0.24376543609572
0.6,0.19265668606762323,0.6354577310556285,0.2956721391870354
0.7,0.2424213145245054,0.5494962768287341,0.33642290867036523
0.8,0.2921156126006711,0.4570124288217258,0.35641561450001735
0.9,0.35832222715830003,0.26497481384143673,0.30465848284545166
