method,precision,recall,f1,roc_auc,brier,ece,n_eval,n_calib
raw,0.1468174001265403,0.7225849817553294,0.24404821197330412,0.8458285646186366,0.14262815606009238,0.3018231497419047,2052518,2052518
sigmoid_platt,0.0,0.0,0.0,0.8458285646186366,0.029580057417192558,0.001949500437507132,2052518,2052518
isotonic,0.0,0.0,0.0,0.8459378410893005,0.02946989461733395,0.0001459545017417897,2052518,2052518
