method,bin_idx,bin_lo,bin_hi,count,mean_pred,empirical_pos_rate,abs_gap
raw,0,0.0,0.1,37809,0.08354162661661017,0.006638631013779788,0.07690299560283038
raw,1,0.1,0.2,520258,0.15815591129561266,0.006804316319979702,0.15135159497563294
raw,2,0.2,0.30000000000000004,591492,0.24669319690783315,0.008547875541850101,0.23814532136598304
raw,3,0.30000000000000004,0.4,351253,0.3448828780399561,0.01587744446310779,0.3290054335768483
raw,4,0.4,0.5,192927,0.44562727556563125,0.030058001212893995,0.4155692743527373
raw,5,0.5,0.6000000000000001,118263,0.5462034701960896,0.053499403871033205,0.4927040663250564
raw,6,0.6000000000000001,0.7000000000000001,75296,0.6465485041573101,0.08361665958351042,0.5629318445737997
raw,7,0.7000000000000001,0.8,51098,0.7472677607050814,0.13213824415828407,0.6151295165467974
raw,8,0.8,0.9,60099,0.8544845256812406,0.2322833990582206,0.62220112662302
raw,9,0.9,1.0,54023,0.946031914434466,0.3579956685115599,0.588036245922906
sigmoid_platt,0,0.0,0.1,1871408,0.01670539849039523,0.016742474115746007,3.707562535077563e-05
sigmoid_platt,1,0.1,0.2,75636,0.1420509278936806,0.12897297583161457,0.013077952062066023
sigmoid_platt,2,0.2,0.30000000000000004,60940,0.2524456947342952,0.2585165736790285,0.006070878944733349
sigmoid_platt,3,0.30000000000000004,0.4,36029,0.3416249721812133,0.38085986288822893,0.039234890707015635
sigmoid_platt,4,0.4,0.5,8505,0.41085054612149047,0.27454438565549677,0.1363061604659937
sigmoid_platt,5,0.5,0.6000000000000001,0,,,
sigmoid_platt,6,0.6000000000000001,0.7000000000000001,0,,,
sigmoid_platt,7,0.7000000000000001,0.8,0,,,
sigmoid_platt,8,0.8,0.9,0,,,
sigmoid_platt,9,0.9,1.0,0,,,
isotonic,0,0.0,0.1,1877219,0.01700713592453581,0.016972447008047543,3.468891648826522e-05
isotonic,1,0.1,0.2,77273,0.13718056970852058,0.1381336301165996,0.0009530604080790206
isotonic,2,0.2,0.30000000000000004,36781,0.23977541296031643,0.23805769283053752,0.0017177201297789157
isotonic,3,0.30000000000000004,0.4,61245,0.3543902399849454,0.3527961466242142,0.0015940933607311858
isotonic,4,0.4,0.5,0,,,
isotonic,5,0.5,0.6000000000000001,0,,,
isotonic,6,0.6000000000000001,0.7000000000000001,0,,,
isotonic,7,0.7000000000000001,0.8,0,,,
isotonic,8,0.8,0.9,0,,,
isotonic,9,0.9,1.0,0,,,
